Verb,Function,Level_1,Level_2,Level_3,
畏惧,对待,生物活动,心理活动,害怕,
招手,对象,生物活动,肢体动作,摆弄,
咆哮,对象,生物活动,头部动作,叫喊,
无害,关涉,运动与变化,判断,有害,
爱护,对待,生物活动,心理活动,爱护,
行使,对象,运动与变化,事态变化,进行,
倾注,对象,运动与变化,判断,导致,
取得,范围,运动与变化,事态变化,结束,
陌生,对待,性质与状态,性质,亲疏,
死心塌地,对待,性质与状态,才品,巧拙,
吐,对象,生物活动,头部动作,呼吸,
,对象,社会活动,社交,表达,
公平,关涉,性质与状态,才品,公私,
,对待,性质与状态,才品,公私,
下达,对象,社会活动,管理,宣布,
管理,对象,社会活动,管理,管理,
改变,对象,运动与变化,物态变化,变化,
吼叫,对象,生物活动,头部动作,叫喊,
要,对待,运动与变化,判断,需要,
提高,对象,运动与变化,数量变化,增加,
道歉,对象,社会活动,社交,感谢道歉,
渴望,对待,生物活动,心理活动,希望,
流露,对象,运动与变化,事态变化,出现,
感觉,对待,生物活动,心理活动,主张,
扮,对象,社会活动,文教,演出,
深表,对待,社会活动,社交,表达,
掌握,对象,社会活动,管理,掌控,
依赖,对待,运动与变化,判断,相关,
习惯,对待,生物活动,心理活动,喜欢,
出现,范围,运动与变化,事态变化,出现,
呵护,对待,社会活动,帮助,照顾,
期望,对待,生物活动,心理活动,希望,
吐露,对象,社会活动,社交,表达,
不服,对待,生物活动,心理活动,反对赞成,
瞪,对象,生物活动,头部动作,眼动,
表明,对象,社会活动,社交,表达,
出,对象,生物活动,肢体动作,拉扯,
,对象,社会活动,社交,说话,
,对象,社会活动,帮助,帮助,
相信,对待,生物活动,心理活动,相信怀疑,
反感,对待,生物活动,心理活动,厌恶,
施展,对象,生物活动,生活工作,参与,
管,对象,社会活动,管理,管理,
作战,对象,社会活动,战争,进攻,
限制,对象,社会活动,争斗,纠缠,
听,对象,生物活动,头部动作,看听嗅,
,对象,社会活动,帮助,协商,
骂,对象,社会活动,社交,批评,
发展,对象,生物活动,际遇,进退,
,对象,运动与变化,数量变化,增加,
攻击,对象,社会活动,战争,进攻,
,对象,社会活动,社交,批评,
厌烦,对待,生物活动,心理活动,厌恶,
建立,对象,社会活动,管理,建立,
清楚,对待,生物活动,心理活动,了解,
宠爱,对待,生物活动,心理活动,喜欢,
关怀,对待,社会活动,帮助,照顾,
保密,对象,社会活动,争斗,欺负瞒骗,
,范围,社会活动,争斗,欺负瞒骗,
敬佩,对待,生物活动,心理活动,反对赞成,
喜爱,对待,生物活动,心理活动,喜欢,
在乎,对待,生物活动,心理活动,关注,
伤害,对象,运动与变化,判断,有害,
一样,关涉,运动与变化,判断,相同,
钦佩,对待,生物活动,心理活动,反对赞成,
应有,对待,生物活动,心理活动,应该能够,
容忍,对待,生物活动,心理活动,隐忍,
动情,对待,生物活动,心理活动,喜欢,
享有,范围,运动与变化,判断,有无,
描述,对象,社会活动,社交,表达,
,范围,社会活动,社交,表达,
注视,对象,生物活动,头部动作,看听嗅,
唱,对象,社会活动,文教,演出,
痛恨,对待,生物活动,心理活动,厌恶,
心怀,对象,运动与变化,判断,包含,
吩咐,对象,社会活动,社交,表达,
瞧,对象,生物活动,头部动作,看听嗅,
满怀,对待,运动与变化,判断,包含,
留,对待,生物活动,心理活动,关注,
凝视,对象,生物活动,头部动作,看听嗅,
感受,范围,生物活动,心理活动,了解,
刺激,对象,运动与变化,事态变化,进行,
发现,对象,生物活动,心理活动,了解,
放,对象,生物活动,肢体动作,放置,
,对待,生物活动,生理活动,安心,
规定,对象,社会活动,管理,议决,
打招呼,对象,社会活动,社交,表达,
指责,对象,社会活动,社交,批评,
开枪,对象,社会活动,战争,火力攻击,
交待,对象,社会活动,社交,表达,
敬畏,对待,生物活动,心理活动,害怕,
至关重要,关涉,性质与状态,性质,主次,
行礼,对象,生物活动,全身动作,行礼,
视,对待,生物活动,头部动作,看听嗅,
走,方向,生物活动,肢体动作,走跑,
缺少,范围,运动与变化,判断,需要,
怜惜,对待,生物活动,心理活动,爱护,
安排,对象,社会活动,管理,部署,
不屑一顾,对待,生物活动,心理活动,忽视,
投怀送抱,对象,生物活动,生活工作,婚恋,
有害,关涉,运动与变化,判断,有害,
了如指掌,对待,生物活动,心理活动,了解,
提及,对象,社会活动,社交,说话,
轻视,对待,生物活动,心理活动,忽视,
肯定,对待,社会活动,管理,议决,
收取,对象,社会活动,管理,管理,
大吼大叫,对象,生物活动,头部动作,叫喊,
没用,关涉,性质与状态,性质,利弊,
多,对象,性质与状态,性状,多少,
爱慕,对待,生物活动,心理活动,喜欢,
嫉妒,对待,生物活动,心理活动,喜欢,
